ID,Date,Holiday,NEM,AFMA_NSW,AFMA_VIC,AFMA_SA,AFMA_QLD,AFMA_TAS,ASX_NSW,ASX_VIC,ASX_SA,ASX_QLD,Official_NSW,Official_VIC,Official_QLD,Official_TAS,Official_SA,Official_ACT,Official_WA,Official_NT
314,2019-03-11,Labour Day                    ,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,false
339,2019-03-11,Eight Hours Day               ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
343,2019-03-11,Canberra Day                  ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
315,2019-04-19,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
316,2019-04-22,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
317,2019-04-25,Anzac Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
341,2019-05-06,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
351,2019-05-06,May Day                       ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
318,2019-06-10,Queen's Birthday              ,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true
352,2019-08-05,Picnic Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
320,2019-08-14,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
548,2019-09-27,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
347,2019-09-30,Queen's Birthday              ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
321,2019-10-07,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false
565,2019-10-07,Queen's Birthday              ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
340,2019-10-24,Royal Hobart Show             ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
322,2019-11-05,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
323,2019-12-25,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
324,2019-12-26,Boxing Day                    ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
325,2020-01-01,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
326,2020-01-27,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
348,2020-03-02,Labour Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
327,2020-03-09,Labour Day                    ,false,false,true,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false
344,2020-03-09,Canberra Day                  ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
328,2020-04-10,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
329,2020-04-13,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
330,2020-04-25,Anzac Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
332,2020-05-04,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
353,2020-05-04,May Day                       ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
331,2020-06-08,Queen's Birthday              ,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true
354,2020-08-03,Picnic Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
333,2020-08-12,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
349,2020-09-28,Queen's Birthday              ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
334,2020-10-05,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false
566,2020-10-05,Queen's Birthday              ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
549,2020-10-23,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
335,2020-11-03,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
336,2020-12-25,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
337,2020-12-28,Boxing Day                    ,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
355,2021-01-01,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
356,2021-01-26,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
359,2021-03-01,Labour Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
360,2021-03-08,Labour Day                    ,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false
361,2021-03-08,Canberra Day                  ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
574,2021-03-08,Adelaide Cup Day              ,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
362,2021-04-02,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
363,2021-04-05,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
364,2021-04-25,ANZAC Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
365,2021-05-03,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
366,2021-06-14,Queen's Birthday              ,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true
368,2021-08-11,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
550,2021-09-24,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
547,2021-09-27,Queens Birthday               ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
369,2021-10-04,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false
567,2021-10-04,Queen's Birthday              ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
370,2021-11-02,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
371,2021-12-27,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
372,2021-12-28,Boxing Day                    ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
373,2022-01-03,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
374,2022-01-26,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
376,2022-03-07,Labour Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
377,2022-03-14,Labour Day                    ,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false
379,2022-04-15,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
380,2022-04-18,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
381,2022-04-25,ANZAC Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
382,2022-05-02,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
383,2022-06-13,Queens Birthday               ,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true
384,2022-08-10,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
551,2022-09-30,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
